,fsk_rssi,voltage,current,altitude,latitude,longitude,tas,gps_used,fix_type,satellites_num,roll,yaw,pitch,motor_status,imu_status,gps_status,cgps_used,press_compass_status,f_mode,gps_pos_used,vehicle_type,error_flags1,gps_accH
20140120 15:30:28:807,-52,12.4,0.0,-0.07,0.0,0.0,0.0,false,0,0,-0.84,331.44,-2.07,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:29:009,-56,12.4,0.0,-0.04,0.0,0.0,0.0,false,0,0,-0.84,331.44,-2.07,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:29:210,-63,12.4,0.0,-0.03,0.0,0.0,0.0,false,0,0,-0.84,331.44,-2.06,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:29:409,-54,12.4,0.0,-0.02,0.0,0.0,0.0,false,0,0,-0.84,331.44,-2.07,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:29:509,-54,12.4,0.0,-0.03,0.0,0.0,0.0,false,0,0,-0.84,331.44,-2.07,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:29:713,-65,12.4,0.0,-0.05,0.0,0.0,0.0,false,0,0,-0.84,331.44,-2.06,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:29:890,-65,12.4,0.0,-0.06,0.0,0.0,0.0,false,0,0,-0.85,331.44,-2.06,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:29:989,-57,12.4,0.0,-0.03,0.0,0.0,0.0,false,0,0,-0.85,331.44,-2.06,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:30:190,-54,12.4,0.0,-0.03,0.0,0.0,0.0,false,0,0,-0.85,331.44,-2.06,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:30:309,-54,12.4,0.0,-0.02,0.0,0.0,0.0,false,0,0,-0.85,331.44,-2.06,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:30:493,-72,12.4,0.0,-0.02,0.0,0.0,0.0,false,0,0,-0.85,331.44,-2.07,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:30:710,-57,12.4,0.0,0.0,0.0,0.0,0.0,false,0,0,-0.85,331.45,-2.07,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:30:809,-57,12.4,0.0,0.01,0.0,0.0,0.0,false,0,0,-0.85,331.45,-2.07,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:30:929,-55,12.4,0.0,0.03,0.0,0.0,0.0,false,0,0,-0.85,331.45,-2.07,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:31:129,-58,12.4,0.0,0.04,0.0,0.0,0.0,false,0,0,-0.85,331.44,-2.07,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:31:377,-64,12.4,0.0,0.0,0.0,0.0,0.0,false,0,0,-0.85,331.45,-2.06,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:32:284,-63,12.4,0.0,0.01,0.0,0.0,0.0,false,0,0,-0.85,331.46,-2.06,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:32:381,-49,12.4,0.0,0.0,0.0,0.0,0.0,false,0,0,-0.85,331.46,-2.06,15,97,1,1,21,16,false,2,32,10.0
20140120 15:30:33:970,-47,12.4,0.0,-0.01,0.0,0.0,0.036055513,false,3,5,-0.86,331.47,-2.05,15,97,1,1,21,16,false,2,32,7.2
20140120 15:30:34:347,-47,12.4,0.0,-0.05,0.0,0.0,0.0,false,3,5,-0.86,331.47,-2.05,15,97,1,1,21,16,false,2,32,6.5
20140120 15:30:34:548,-49,12.4,0.0,-0.04,0.0,0.0,0.01,false,3,5,-0.86,331.47,-2.05,15,97,1,1,21,16,false,2,32,6.2
20140120 15:30:34:849,-59,12.4,0.0,0.0,0.0,0.0,0.06403124,false,3,5,-0.86,331.47,-2.05,15,97,1,1,21,16,false,2,32,5.75
20140120 15:30:35:127,-51,12.4,0.0,0.04,0.0,0.0,0.03,false,3,5,-0.86,331.47,-2.05,15,97,1,1,21,16,false,2,32,5.5
20140120 15:30:35:327,-68,12.4,0.0,0.05,0.0,0.0,0.044721358,false,3,5,-0.86,331.48,-2.05,15,97,1,1,21,16,false,2,32,5.35
20140120 15:30:35:528,-65,12.4,0.0,0.1,0.0,0.0,0.02828427,false,3,5,-0.86,331.48,-2.05,15,97,1,1,21,16,false,2,32,5.15
20140120 15:30:35:730,-66,12.4,0.0,0.09,0.0,0.0,0.02,false,3,5,-0.86,331.48,-2.05,15,97,1,1,21,16,false,2,32,5.0
20140120 15:30:35:930,-63,12.4,0.0,0.05,0.0,0.0,0.01,false,3,5,-0.86,331.48,-2.05,15,97,1,1,21,16,false,2,32,4.9
20140120 15:30:36:231,-51,12.4,0.0,0.07,0.0,0.0,0.0,false,3,5,-0.86,331.48,-2.05,15,97,1,1,21,16,false,2,32,4.75
20140120 15:30:36:328,-53,12.4,0.0,0.05,0.0,0.0,0.031622775,false,3,5,-0.86,331.48,-2.05,15,97,1,1,21,16,false,2,32,4.65
20140120 15:30:36:511,-72,12.4,0.0,0.03,0.0,0.0,0.036055513,false,3,5,-0.86,331.48,-2.05,15,97,1,1,21,16,false,2,32,4.55
20140120 15:30:36:610,-65,12.4,0.0,0.01,0.0,0.0,0.036055513,false,3,5,-0.86,331.49,-2.06,15,97,1,1,21,16,false,2,32,4.55
20140120 15:30:36:856,-60,12.4,0.0,0.02,0.0,0.0,0.014142135,false,3,5,-0.86,331.49,-2.06,15,97,1,1,21,16,false,2,32,4.45
20140120 15:30:37:049,-59,12.4,0.0,0.03,0.0,0.0,0.05385165,false,3,5,-0.86,331.49,-2.06,15,97,1,1,21,16,false,2,32,4.35
20140120 15:30:38:499,-58,12.4,0.0,0.02,0.0,0.0,0.036055513,false,3,5,-0.87,331.5,-2.06,15,97,1,1,21,16,false,2,32,3.8
20140120 15:30:38:600,-60,12.4,0.0,0.0,0.0,0.0,0.036055513,false,3,5,-0.87,331.5,-2.06,15,97,1,1,21,16,false,2,32,3.8
20140120 15:30:38:712,-60,12.4,0.0,0.05,0.0,0.0,0.01,false,3,5,-0.87,331.5,-2.06,15,97,1,1,21,16,false,2,32,3.7
20140120 15:30:38:980,-57,12.4,0.0,0.09,0.0,0.0,0.02828427,false,3,5,-0.87,331.5,-2.05,15,97,1,1,21,16,false,2,32,3.65
20140120 15:30:39:281,-57,12.4,0.0,0.1,0.0,0.0,0.01,false,3,5,-0.87,331.5,-2.06,15,97,1,1,21,16,false,2,32,3.55
20140120 15:30:39:480,-60,12.4,0.0,0.12,0.0,0.0,0.02,false,3,5,-0.87,331.51,-2.05,15,97,1,1,21,16,false,2,32,3.5
20140120 15:30:40:874,-58,12.4,0.0,0.13,0.0,0.0,0.014142135,false,3,5,-0.89,331.51,-2.05,15,97,1,1,21,16,false,2,32,3.25
20140120 15:30:41:071,-46,12.4,0.0,0.11,0.0,0.0,0.014142135,false,3,5,-0.89,331.51,-2.04,15,97,1,1,21,16,false,2,32,3.2
20140120 15:30:41:274,-39,12.4,0.0,0.11,0.0,0.0,0.014142135,false,3,5,-0.9,331.51,-2.04,15,97,1,1,21,16,false,2,32,3.15
20140120 15:30:41:551,-39,12.4,0.0,0.12,0.0,0.0,0.02,false,3,11,-0.9,331.51,-2.04,15,97,1,1,21,16,false,2,32,2.75
20140120 15:30:41:751,-39,12.4,0.0,0.12,0.0,0.0,0.01,false,3,11,-0.9,331.51,-2.05,15,97,1,1,21,16,false,2,32,2.5
20140120 15:30:41:955,-37,12.4,0.0,0.17,0.0,0.0,0.02,false,3,11,-0.89,331.51,-2.05,15,97,1,1,21,16,false,2,32,2.35
20140120 15:30:42:154,-40,12.4,0.0,0.15,0.0,0.0,0.04,false,3,11,-0.89,331.5,-2.05,15,97,1,1,21,16,false,2,32,2.25
20140120 15:30:42:355,-42,12.4,0.0,0.18,0.0,0.0,0.022360679,false,3,11,-0.89,331.51,-2.05,15,97,1,1,21,16,false,2,32,2.15
20140120 15:30:42:557,-36,12.4,0.0,0.14,0.0,0.0,0.01,false,3,11,-0.89,331.51,-2.05,15,97,1,1,21,16,false,2,32,2.05
20140120 15:30:42:847,-39,12.4,0.0,0.08,0.0,0.0,0.0,false,3,11,-0.88,331.51,-2.06,15,97,1,1,21,16,false,2,32,2.0
20140120 15:30:43:074,-41,12.4,0.0,0.1,-23.560097,-46.723186,0.01,false,3,11,-0.88,331.51,-2.06,15,97,1,1,21,16,false,2,32,1.95
20140120 15:30:43:250,-35,12.4,0.0,0.09,-23.560097,-46.723186,0.022360679,false,3,11,-0.88,331.51,-2.06,15,97,1,1,21,16,false,2,32,1.9
20140120 15:30:43:440,-40,12.4,0.0,0.09,-23.560097,-46.723186,0.014142135,false,3,11,-0.88,331.51,-2.06,15,97,1,1,21,16,false,2,32,1.85
20140120 15:30:44:238,-36,12.4,0.0,0.05,-23.560099,-46.723183,0.014142135,false,3,11,-0.88,331.5,-2.06,15,97,1,1,21,16,false,2,32,1.7
20140120 15:30:44:323,-38,12.4,0.0,0.06,-23.560099,-46.723183,0.02,false,3,11,-0.88,331.5,-2.07,15,97,1,1,21,16,false,2,32,1.7
20140120 15:30:45:134,-36,12.4,0.0,0.1,-23.560099,-46.723183,0.01,false,3,11,-0.87,310.9,-2.07,15,97,1,1,21,16,false,2,32,1.55
20140120 15:30:45:307,-35,12.4,0.0,0.06,-23.560099,-46.723183,2.5600195,false,3,11,-0.87,310.9,-2.07,15,97,1,1,21,16,false,2,32,1.55
20140120 15:30:45:445,-39,12.4,0.0,0.07,-23.560099,-46.723183,0.014142135,false,3,11,-0.87,310.91,-2.07,15,97,1,1,21,16,false,2,32,1.55
20140120 15:30:45:510,-37,12.4,0.0,0.08,-23.560099,-46.723183,0.0,false,3,11,-0.87,310.91998,-2.07,15,97,1,1,21,16,false,2,32,1.55
20140120 15:30:45:750,-41,12.4,0.0,0.09,-23.560099,-46.723183,0.014142135,false,3,11,-0.87,310.93,-2.07,15,97,1,1,21,16,false,2,32,1.5
20140120 15:30:46:596,-34,12.4,0.0,0.13,-23.560099,-46.723183,0.03,false,3,11,-0.88,310.95,-2.07,15,97,1,1,21,16,false,2,32,1.45
20140120 15:30:46:792,-37,12.4,0.0,0.12,-23.560099,-46.723183,0.01,false,3,11,-0.88,310.96002,-2.07,15,97,1,1,21,16,false,2,32,1.4
20140120 15:30:47:093,-34,12.4,0.0,0.15,-23.560099,-46.723183,0.0,false,3,11,-0.88,310.97,-2.07,15,97,1,1,21,16,false,2,32,1.4
20140120 15:30:47:320,-38,12.4,0.0,0.13,-23.560099,-46.723183,0.0,false,3,11,-0.88,310.96002,-2.06,15,97,1,1,21,16,false,2,32,1.4
20140120 15:30:47:532,-39,12.4,0.0,0.11,-23.560102,-46.723164,0.044721358,false,3,15,-0.88,310.97998,-2.06,15,97,1,1,21,16,false,2,32,1.25
20140120 15:30:47:601,-36,12.4,0.0,0.11,-23.560102,-46.723164,0.044721358,false,3,15,-0.88,310.97998,-2.06,15,97,1,1,21,16,false,2,32,1.25
20140120 15:30:48:082,-37,12.4,0.0,0.1,-23.560108,-46.723145,0.01,true,3,15,-0.87,310.97998,-2.06,15,97,1,1,21,16,false,2,32,1.05
20140120 15:30:48:280,-40,12.4,0.0,0.11,-23.560108,-46.72314,0.0,true,3,15,-0.87,310.97998,-2.05,15,97,1,1,21,16,false,2,32,1.0
20140120 15:30:48:561,-36,12.4,0.0,0.11,-23.560108,-46.723137,0.0,true,3,15,-0.87,310.99,-2.05,15,97,1,1,21,16,false,2,32,0.95
20140120 15:30:48:676,-40,12.4,0.0,0.13,-23.56011,-46.72313,0.0,true,3,15,-0.87,310.97998,-2.05,15,97,1,1,21,16,false,2,32,0.95
20140120 15:30:48:877,-37,12.4,0.0,0.13,-23.56011,-46.723125,0.01,true,3,15,-0.86,310.97998,-2.05,15,97,1,1,21,16,false,2,32,0.9
20140120 15:30:49:081,-37,12.4,0.0,0.19,-23.560112,-46.723125,2.55,true,3,15,-0.87,310.97,-2.05,15,97,1,1,21,16,false,2,32,0.9
20140120 15:30:49:160,-36,12.4,0.0,0.18,-23.560112,-46.723125,0.01,true,3,15,-0.87,310.97,-2.05,15,97,1,1,21,16,false,2,32,0.9
20140120 15:30:49:358,-36,12.4,0.0,0.16,-23.560112,-46.72312,0.01,true,3,15,-0.86,310.97998,-2.05,15,97,1,1,21,16,false,2,32,0.85
20140120 15:30:49:662,-35,12.4,0.0,0.15,-23.560114,-46.72312,0.01,true,3,15,-0.86,310.96002,-2.04,15,97,1,1,21,16,false,2,32,0.85
20140120 15:30:49:862,-41,12.4,0.0,0.13,-23.560114,-46.723118,0.0,true,3,15,-0.87,310.96002,-2.05,15,97,1,1,21,16,false,2,32,0.8
20140120 15:30:51:262,-38,12.4,0.0,0.1,-23.560118,-46.72311,0.01,true,3,15,-0.87,310.97,-2.05,15,97,1,1,21,16,false,2,32,0.7
20140120 15:30:51:344,-39,12.4,0.0,0.09,-23.560118,-46.72311,0.0,true,3,15,-0.87,310.97,-2.05,15,97,1,1,21,16,false,2,32,0.7
20140120 15:30:51:520,-37,12.4,0.0,0.1,-23.560118,-46.72311,0.0,true,3,15,-0.87,310.97,-2.05,15,97,1,1,21,16,false,2,32,0.7
20140120 15:30:53:001,-36,12.4,0.0,0.17,-23.56012,-46.723106,0.0,true,3,15,-0.87,310.96002,-2.05,15,97,1,1,21,16,false,2,32,0.65
20140120 15:30:53:041,-36,12.4,0.0,0.17,-23.56012,-46.723106,0.0,true,3,15,-0.87,310.96002,-2.05,15,97,1,1,21,16,false,2,32,0.65
20140120 15:30:53:511,-35,12.4,0.0,0.11,-23.56012,-46.723106,0.01,true,3,15,-0.87,310.97,-2.06,15,97,1,1,21,16,false,2,32,0.6
20140120 15:30:53:734,-39,12.4,0.0,0.11,-23.56012,-46.723106,0.014142135,true,3,15,-0.87,310.96002,-2.05,15,97,1,1,21,16,false,2,32,0.6
20140120 15:30:53:915,-40,12.4,0.0,0.07,-23.56012,-46.723106,0.014142135,true,3,15,-0.87,310.96002,-2.05,15,97,1,1,21,16,false,2,32,0.6
20140120 15:30:54:135,-37,12.4,0.0,0.08,-23.56012,-46.723106,0.0,true,3,15,-0.87,310.96002,-2.06,15,97,1,1,21,16,false,2,32,0.6
20140120 15:30:54:428,-41,12.4,0.0,0.1,-23.56012,-46.723106,0.01,true,3,15,-0.87,310.97,-2.06,15,97,1,1,21,16,false,2,32,0.6
20140120 15:30:54:599,-42,12.4,0.0,0.12,-23.56012,-46.723106,0.0,true,3,16,-0.87,310.97,-2.06,15,97,1,1,21,16,false,2,32,0.6
20140120 15:30:54:800,-36,12.4,0.0,0.2,-23.560122,-46.723106,0.01,true,3,16,-0.87,310.96002,-2.06,15,97,1,1,21,16,false,2,32,0.6
20140120 15:30:54:998,-42,12.4,0.0,0.19,-23.560122,-46.723106,0.014142135,true,3,16,-0.88,310.95,-2.06,15,97,1,1,21,16,false,2,32,0.6
20140120 15:30:55:207,-43,12.4,0.0,0.25,-23.560122,-46.723106,0.01,true,3,16,-0.88,310.96002,-2.06,15,97,1,1,21,16,false,2,32,0.55
20140120 15:30:55:527,-38,12.4,0.0,0.21,-23.560122,-46.723106,0.01,true,3,16,-0.87,310.97,-2.06,15,97,1,1,21,16,false,2,32,0.55
20140120 15:30:55:597,-37,12.4,0.0,0.21,-23.560122,-46.723106,0.01,true,3,16,-0.87,310.97,-2.06,15,97,1,1,21,16,false,2,32,0.55
20140120 15:30:55:682,-43,12.4,0.0,0.21,-23.560122,-46.723106,0.01,true,3,16,-0.87,310.97,-2.06,15,97,1,1,21,16,false,2,32,0.55
20140120 15:30:55:778,-37,12.4,0.0,0.18,-23.560122,-46.723106,0.01,true,3,16,-0.87,310.97,-2.06,15,97,1,1,21,16,false,2,32,0.55
20140120 15:30:55:996,-43,12.4,0.0,0.23,-23.560123,-46.723106,0.01,true,3,16,-0.87,310.96002,-2.06,15,97,1,1,21,16,false,2,32,0.55
20140120 15:30:56:179,-35,12.4,0.0,0.23,-23.560123,-46.723106,0.01,true,3,16,-0.87,310.97,-2.06,15,97,1,1,21,16,false,2,32,0.55
20140120 15:30:56:386,-40,12.4,0.0,0.21,-23.560123,-46.723106,0.0,true,3,16,-0.87,310.97998,-2.06,15,97,1,1,21,16,false,2,32,0.55
20140120 15:30:56:681,-36,12.4,0.0,0.21,-23.560123,-46.723106,0.0,true,3,16,-0.87,310.97,-2.06,15,97,1,1,21,16,false,2,32,0.55
20140120 15:30:57:769,-37,12.4,0.0,0.17,-23.560125,-46.723106,0.01,true,3,16,-0.87,310.96002,-2.06,15,97,1,1,21,16,false,2,32,0.5
20140120 15:30:59:150,-36,12.4,0.0,0.18,-23.560127,-46.723106,0.01,true,3,16,-0.87,311.01,-2.06,15,97,1,1,21,16,false,2,32,0.5
20140120 15:30:59:383,-35,12.4,0.0,0.2,-23.560127,-46.723106,0.01,true,3,16,-0.87,311.0,-2.06,15,97,1,1,21,16,false,2,32,0.5
20140120 15:30:59:437,-34,12.4,0.0,0.21,-23.560127,-46.723106,0.01,true,3,16,-0.87,310.99,-2.06,15,97,1,1,21,16,false,2,32,0.5
20140120 15:30:59:637,-37,12.4,0.0,0.22,-23.560127,-46.723106,0.0,true,3,16,-0.87,311.0,-2.05,15,97,1,1,21,16,false,2,32,0.5
20140120 15:30:59:838,-38,12.4,0.0,0.24,-23.560127,-46.723106,0.01,true,3,16,-0.87,311.01,-2.05,15,97,1,1,21,16,false,2,32,0.5
20140120 15:31:00:087,-34,12.4,0.0,0.26,-23.56013,-46.723106,0.014142135,true,3,16,-0.87,311.01,-2.05,15,97,1,1,21,16,false,2,32,0.5
20140120 15:31:00:340,-39,12.4,0.0,0.28,-23.56013,-46.723103,0.014142135,true,3,16,-0.87,311.0,-2.06,15,97,1,1,21,16,false,2,32,0.5
20140120 15:31:00:441,-35,12.4,0.0,0.31,-23.56013,-46.723103,0.014142135,true,3,16,-0.87,311.0,-2.06,15,97,1,1,21,16,false,2,32,0.5
20140120 15:31:00:725,-35,12.4,0.0,0.31,-23.56013,-46.723103,0.01,true,3,16,-0.88,310.99,-2.06,15,97,1,1,21,16,false,2,32,0.5
20140120 15:31:00:816,-38,12.4,0.0,0.31,-23.56013,-46.723103,0.01,true,3,16,-0.88,310.99,-2.06,15,97,1,1,21,16,false,2,32,0.5
20140120 15:31:01:015,-39,12.4,0.0,0.33,-23.56013,-46.723103,0.01,true,3,16,-0.88,310.97998,-2.06,15,97,1,1,21,16,false,2,32,0.5
20140120 15:31:01:119,-37,12.4,0.0,0.32,-23.56013,-46.723103,0.014142135,true,3,16,-0.87,310.97998,-2.06,15,97,1,1,21,16,false,2,32,0.5
20140120 15:31:01:323,-34,12.4,0.0,0.27,-23.56013,-46.723103,0.014142135,true,3,16,-0.88,310.97998,-2.06,15,97,1,1,21,16,false,2,32,0.45
20140120 15:31:01:520,-38,12.4,0.0,0.26,-23.56013,-46.723103,0.01,true,3,16,-0.88,310.97998,-2.06,15,97,1,1,21,16,false,2,32,0.45
20140120 15:31:01:733,-35,12.4,0.0,0.28,-23.56013,-46.723103,0.022360679,true,3,16,-0.88,310.97998,-2.06,15,97,1,1,21,16,false,2,32,0.45
20140120 15:31:02:098,-39,12.4,0.0,0.3,-23.56013,-46.723103,0.01,true,3,16,-0.88,310.97,-2.06,15,97,1,1,21,16,false,2,32,0.45
20140120 15:31:02:201,-36,12.4,0.0,0.31,-23.56013,-46.723103,0.01,true,3,16,-0.88,310.97998,-2.06,15,97,1,1,21,16,false,2,32,0.45
20140120 15:31:02:412,-39,12.4,0.0,0.32,-23.56013,-46.723103,0.01,true,3,16,-0.88,310.99,-2.06,15,97,1,1,21,16,false,2,32,0.45
20140120 15:31:03:207,-37,12.4,0.0,0.31,-23.56013,-46.723103,0.01,true,3,16,-0.88,310.99,-2.06,15,97,1,1,21,16,false,2,32,0.45
20140120 15:31:03:994,-44,12.4,0.0,0.34,-23.56013,-46.723103,0.01,true,3,16,-0.88,310.99,-2.06,15,97,1,1,21,16,false,2,32,0.45
20140120 15:31:05:402,-44,12.4,0.0,0.33,-23.560131,-46.723103,0.01,true,3,16,-0.88,310.97,-2.06,15,97,1,1,21,16,false,2,32,0.45
20140120 15:31:05:478,-45,12.4,0.0,0.34,-23.560131,-46.723103,0.01,true,3,16,-0.88,310.97998,-2.06,15,97,1,1,21,16,false,2,32,0.45
20140120 15:31:05:576,-39,12.4,0.0,0.34,-23.560131,-46.723103,0.0,true,3,16,-0.88,310.97998,-2.05,15,97,1,1,21,16,false,2,32,0.45
20140120 15:31:05:772,-39,12.4,0.0,0.32,-23.560131,-46.723103,0.0,true,3,16,-0.88,310.97998,-2.05,15,97,1,1,21,16,false,2,32,0.45
20140120 15:31:05:875,-37,12.4,0.0,0.32,-23.560131,-46.723103,0.0,true,3,16,-0.88,310.97,-2.05,15,97,1,1,21,16,false,2,32,0.45
20140120 15:31:05:951,-45,12.4,0.0,0.32,-23.560131,-46.723103,0.01,true,3,16,-0.88,310.97,-2.05,15,97,1,1,21,16,false,2,32,0.45
20140120 15:31:06:257,-43,12.4,0.0,0.28,-23.560131,-46.7231,0.0,true,3,16,-0.88,310.96002,-2.05,15,97,1,1,21,16,false,2,32,0.45
20140120 15:31:06:454,-37,12.4,0.0,0.27,-23.560131,-46.7231,0.014142135,true,3,16,-0.88,310.96002,-2.05,15,97,1,1,21,16,false,2,32,0.45
20140120 15:31:06:553,-43,12.4,0.0,0.26,-23.560131,-46.7231,0.0,true,3,16,-0.88,310.97,-2.06,15,97,1,1,21,16,false,2,32,0.45
20140120 15:31:06:854,-39,12.4,0.0,0.27,-23.560131,-46.7231,0.0,true,3,16,-0.88,310.96002,-2.06,15,97,1,1,21,16,false,2,32,0.45
20140120 15:31:07:056,-37,12.4,0.0,0.27,-23.560131,-46.7231,0.01,true,3,16,-0.88,310.96002,-2.06,15,97,1,1,21,16,false,2,32,0.45
20140120 15:31:07:141,-37,12.4,0.0,0.26,-23.560131,-46.7231,0.01,true,3,16,-0.88,310.95,-2.06,15,97,1,1,21,16,false,2,32,0.45
20140120 15:31:07:357,-41,12.4,0.0,0.28,-23.560131,-46.7231,0.0,true,3,16,-0.87,310.95,-2.06,15,97,1,1,21,16,false,2,32,0.45
20140120 15:31:07:539,-46,12.4,0.0,0.25,-23.560131,-46.7231,0.0,true,3,16,-0.88,310.94,-2.06,15,97,1,1,21,16,false,2,32,0.45
20140120 15:31:07:744,-39,12.4,0.0,0.28,-23.560131,-46.7231,0.0,true,3,16,-0.87,310.93,-2.06,15,97,1,1,21,16,false,2,32,0.45
20140120 15:31:07:946,-42,12.4,0.0,0.29,-23.560131,-46.7231,0.0,true,3,16,-0.88,310.93,-2.06,15,97,1,1,21,16,false,2,32,0.45
20140120 15:31:08:149,-37,12.4,0.0,0.36,-23.560131,-46.7231,0.01,true,3,16,-0.88,310.93,-2.06,15,97,1,1,21,16,false,2,32,0.45
20140120 15:31:08:351,-38,12.4,0.0,0.35,-23.560131,-46.7231,0.01,true,3,16,-0.88,310.93,-2.06,15,97,1,1,21,16,false,2,32,0.45
20140120 15:31:08:473,-39,12.4,0.0,0.35,-23.560131,-46.7231,0.01,true,3,16,-0.88,310.91998,-2.06,15,97,1,1,21,16,false,2,32,0.45
20140120 15:31:08:631,-37,12.4,0.0,0.31,-23.560131,-46.7231,0.0,true,3,16,-0.88,310.91998,-2.06,15,97,1,1,21,16,false,2,32,0.4
20140120 15:31:08:826,-42,12.4,0.0,0.27,-23.560131,-46.7231,0.01,true,3,16,-0.88,310.91998,-2.06,15,97,1,1,21,16,false,2,32,0.4
20140120 15:31:09:028,-36,12.4,0.0,0.29,-23.560131,-46.7231,0.014142135,true,3,16,-0.88,310.91998,-2.06,15,97,1,1,21,16,false,2,32,0.4
20140120 15:31:10:421,-43,12.4,0.0,0.28,-23.560133,-46.7231,0.01,true,3,16,-0.91,310.9,-2.08,15,97,1,1,21,16,false,2,32,0.4
20140120 15:31:11:903,-42,12.4,0.0,0.32,-23.560133,-46.7231,0.01,true,3,16,-0.9,310.87,-2.08,15,97,1,1,21,16,false,2,32,0.4
20140120 15:31:12:099,-39,12.4,0.0,0.32,-23.560133,-46.7231,0.01,true,3,16,-0.9,310.87,-2.07,15,97,1,1,21,16,false,2,32,0.4
20140120 15:31:12:506,-39,12.4,0.0,0.26,-23.560133,-46.7231,0.0,true,3,16,-0.89,310.88,-2.07,15,97,1,1,21,16,false,2,32,0.4
